Nume*;Email*;Județ*;Localitate*;Adresă*;Cod poștal*;Criterii de admitere*;Preț*;Servicii* - multiple;Categorii de îngrijire - multiple;Previzualizare imagine;Siglă cămin;Link video;Substituent video;Galerie imagini - multiple;Descriere scurtă*;Descriere*
"Asociatia Caminul de batrani Sf. Elisabeta";;;;;;;;"Asistenta medicala, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice";;;;;;;;"Caminul de batrani Sf. Elisabeta este o institutie de asistenta sociala al organizatiei CARITAS ALBA IULIA cu rolul de acordare de servicii sociale primare si servicii sociale specializate pentru persoane in varsta si cu dizabilitati. Caminul are o experienta de 16 ani in urmatoarele domenii: – ingrijirea persoanelor in varsta, – ingrijirea persoanelor cu boala Parkinson, – ingrijirea bolnavilor cu dmenta Alzheimer, Colaborarea si numeroasele schimburi de experienta in institutii similare din Austria si Germania, fac din caminul nostru un centru de incredere pentru familiile din centrul tarii. Caminul de batrani Sf.Elisabeta este acreditat de catre AJPS Harghita pentru urmatoarele servicii: – Serviciul de gazduire, care include: – Serviciul de asistenta medicala si ingrijire – Serviciul de socializare si petrecere a timpului liber"
"Centrul Rezidential CASA MAGIC";;;Bacia;;;;;"Ingrijire bolnavi, Ingrijire persoane cu handicap";;;;;;;;"Caminul de batrani Casa Magic se afla intr-o zona linistita, la intrarea in localitatea Bacia pe drumul national 66 la 5 km de autostrada A1 Sibiu-Deva. Construcția este amplasată în planul secund, la distanta de șoseaua principală, astfel încât să te poți bucura de liniște și de aer curat. Casa Magic este mai mult decat un camin de batrani, te face sa te simti acasa, inconjurat de cei dragi, pt ca pana la urma nu poti decat sa-i indragesti pe cei care-ti sunt alaturi zi de zi: minunatul personal al centrului, precum ceilalti rezidenti. La noi, cei dragi dumneavoastra vor beneficia de conditii deosebite de cazare, supraveghere atenta 24 de ore pe zi precum si de un meniu variat si foarte atent selectat. In plus, pe timpul verii, se pot bucura de gradina noastra care ofera o ambianta placuta si linistitoare, fructe si legume proaspete. Cladirea relativ noua, mobilierul care ofera confort, posibilitatea de relaxare in curtea pensiunii si pe terasa generoasa, acoperita, te fac sa te simti bine, ca acasa. Avem locuri disponibile in camere cu unu, doua sau trei paturi. Locurile se ocupa pe principiul primul venit primul servit. Suntem furnizori acreditaţi de servicii sociale, în baza Certificatului seria AF nr.005444 eliberat de Ministerul Muncii si Justitiei sociale."
"Asociatia Alexandru Ciuhat";;;;;;;;"Asistenta medicala, Geriatrie, Ingrijire bolnavi, Ingrijire persoane varstnice";;;;;;;;"Ofera sedere permanenta personelor varstnice aflate intr-o stare de sanatate buna, capabile sa se ingrijeasca singure si care doresc sa socializeze cu alte persoane de varsta lor intr-un mediu plin de armonie si caldura sufleteasca. Se asigura mancare, trei mese principale, desert, fructe. Se ofera consultatii medicale gratuite la cerere."
"Casa Batiz";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala";;;;;;;;"Aici este casa visurilor tale, aici suntem noi ce am dobandit experienta de ingrijitori in REGATUL UNIT AL MARII BRITANII, aici suntem noi cei care va supraveghem 24 de ore, aici suntem noi cei care va ingrijim cu respect si demnitate, aici suntem noi cei care va respectam intimitatea demnitatea si orientarea religioasa.Pentru D-vs avem internet 24 din 24 de ore, telefon, aer conditioant, televizor color."
"Camin Anastasia";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Gazduire permanenta: in dormitoare cu 1, 2 sau 3 paturi, luminoase, calduroase, dotate cu mobilier modern,televizor, internet, baie; servicii de ingrijire personala: ajutor pentru igiena corporala, imbracare si dezbracare, mobilizare, servirea mesei sau hranirea pacientului (dupa caz) , deplasare in interior sau exterior; pregatirea si servirea mesei: 5 mese pe zi din care 3 mese principale si 2 gustari, meniu adaptat nevoilor impuse de starea sanatatii si preferintelor pacientilor, servirea intr-un mediu igienic si ambient placut; servicii de ingrijiri medicale: efectuarea masuratorilor antropometrice, monitorizarea parametrilor fiziologici (tensiune arteriala, glicemie, temperatura, puls), administrarea tratamentului prescris de medicul curant, kinetoterapie, psihoterapie; consultatie medicala zilnica functie de starea sanatatii pacientului ; socializare si petrecerea timpului liber: camera comuna amenajata modern , dotata cu televizor, video,CD plyer , acces internet , etc ;"
"Camin Casa Nandru";;;;;;;;"Asistenta medicala, Consult medical regulat, Ingrijire persoane varstnice";;;;;;;;"Camin particular pentru persoane varstnice oferim cazare: – doua paturi in camera – masa si asistenta medicala. Caminul este situat intr-o zona deobisebit de pitoreasca cu un ambient foarte placut. Primim persoane neimobilizate la pat si fara probleme psihice. Caminul se afla la 10 km de municipiul Hunedoara."
"Medical Cronic DEVA";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala";;;;;;;;"Singurul centru rezidential pentru persoane cu: boli psihice cronice (schizofrenie, tulburare afectiva bipolara, depresii etc.). afectiuni neurologice (AVC, AVC ischemic, AIT, Alzheimer, Paralizii, Paraplegie, Parkinson, etc.) faze terminale ale afectiunilor cronice"
"Camin de batrani privat";;;;;;;;"Asistenta medicala, Consult medical regulat, Evaluare clinica, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala";;;;;;;;"Camin batrani privat din Deva ofera cazare permanenta, masa (mic dejun, pranz, desert, cina), tratamente medicale (medic permanent) posibilitate plimbare in aer liber, diverse locuri amenajate pentru recreere. Se asigura supraveghere permanenta de personal calificat."
"Casa Trestiana";;;;;;;;"Asistenta medicala, Consult medical regulat, Ingrijire bolnavi, Ingrijire persoane varstnice";;;;;;;;"Caminul Casa Trestiana a luat fiinta din dorinta noastra de a imparti si cu altii bucuria vietii de la tara, imaginea satului de munte cu case rasfirate, fosnetul padurii si susurul paraului ce strabate satul de la un capat la altul. Suntem pozitionati in partea de nord a judetului Hunedoara, la 25 de minute de viitoarea autostrada Arad-Timisoara-Deva-Sibiu, actualmente in lucru. Aproape de noi si la distante aproximativ egale se afla statiunile balneo-climaterice Vata de Jos si Geoagiu Bai unde rezidentii pot beneficia de tratamente in functie de starea de sanatate a fiecaruia. La Casa Trestiana, varstnicii se pot bucura de o batranete linistita si siguranta, intr-un cadru natural si familial deosebit."
"Camin Punte Intre Generatii";;;;;;;;;;;;;;;;"Caminul este locul de sedere permanenta, de recreere si relaxare a 22 de persoane. Aer curat, liniste si multiple activitati optionale, reprezinta modul de viata si de relaxare al seniorilor nostri. Seniorii au parte de cele mai bune servicii de cazare, igiena si masa; Fizioterapie, kinetoterapie si masaj in cabinetele proprii, deschise si pentru nerezidenti; Asistenta medicala permanenta. Se servesc trei mese si doua gustari preparate proaspat in bucataria proprie. Informatizarea si monitorizarea spatiilor comune permanenta,- atat pentru siguranta locatarilor, cat si pentru apropierea prin internet de apartinatori De asemenea, se vor asigura programe de terapie ocupationala, meloterapie, ergoterapie, excursii. Se doreste in viitor constructia unei sere de legume si a unui helesteu pentru uz propriu. Cei doritori sa pescuiasca au conditii optime pentru asa ceva. Asteptam sugestiile dumneavoastra pentru ca toata lumea sa fie multumita."
"Centrul Rezidential Dr. Micu";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie";;;;;;;;"Ideea infiintarii acestei clinici ne-a venit dupa ce o persoana draga fusese diagnosticata cu dementa. Nu stiam ce inseamna, nu stiam exact ce vom face, dar stiam sigur ca viata trebuie sa isi urmeze cursul normal. Nu doream un pat de spital, zile si nopti care seamana intre ele si, mai ales, privirea trista a celui de langa noi, care nu mai doreste nimic. Centrul acesta doreste o alta abordare a pacientilor diagnosticati cu dementa. Credem ca posibilitatea de a avea un ciclu al activitatilor zilnice normal promoveaza o stare de bine, o relaxare naturala; inlatura nocivitatea problemelor asociate cu inactivitatea. Posibilitatea de a face lucruri ofera ocazia de etalare fara restrictii a sentimentelor fata de altii care impartasesc aceeasi experienta, sansa de a avea activitati in comun, de a fi intr-un rol independent si a-si imbunatati deprinderile de comunicare. Dorinta noastra este de a implica si comunitatea in viata din interiorul centrului, organizand activitati comune cu grupuri de voluntari . Din pacate, aceasta latura este aprope inexistenta in tara noastra, dar totusi exista. Trebuie doar sa cauti. Sa vrei ! Sportul, gradinaritul, gatitul, dar si preocupari culturale (auditii muzicale, vizionarea unor filme si, chiar, a unor piese de teatru) sunt activitati normale din viata unui om, pe care vom incerca sa le aducem si pacientilor nostri. Multumim pentru increderea acordata! Echipa Centrului Rezidential va asteapta!"
"Abos Care";;;;;;;;"Ingrijire bolnavi, Ingrijire persoane varstnice";;;;;;;;"Incepand de la data de 1 august am deschis in Iasi un camin de batrani, ca urmare a succesului serviciilor noastre de ingrijire la domiciliu si a nevoii de servicii complementare pentru unii dintre clientii nostri. Va oferim in continuare garantia calitatii serviciilor noaste de ingrijire si a atentiei personalizate pentru fiecare client in parte, oferite de personal dedicat intr-un cadru restrans, comfortabil si linistit."
"Centru Rezidential Acasa";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Evaluare clinica, Geriatrie, Ingrijire bolnavi, Ingrijire persoane varstnice";;;;;;;;"Centrul Rezidential Acasa isi propune sa ofere sprijin persoanelor varstnice cu diferite nevoi intr-un mediu familiar din dorinta de a crea un sentiment de siguranta si apartenenta. Serviciile oferite in centru sunt menite sa asigure confortul si intimitatea pe care fiecare varstnic le avea odinioara in propriul camin. Obiectivul principal al Centrului Rezidential Acasa este gazduirea pe o perioada nedeterminata a 20 de persoane varstnice aflate in dificultate. Valorile care ghideaza intreaga activitate in centru sunt respectarea demnitatii umane, confidentialitatea, transparenta si participarea in acordarea serviciilor, independenta si individualitatea fiecarei persoane."
"Idris – Care and clinic";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"Idris Care & Clinic este un camin de batrani care se adreseaza parintilor si bunicilor nostri, carora le datoram ceea ce suntem noi astazi. Dragostea, respectul, atentia pe care batranii le merita reprezinta deviza noastra. Caminul de batrani Idris Care & Clinic ofera un o serie de pachete pentru a veni in sprijinul oricarui batran, in functie de nevoile fiecaruia."
"Centru Rezidential Pentru Seniori Sivomed";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Gimnastica medicala, Ingrijire bolnavi, Ingrijire persoane varstnice, Recuperare medicala";;;;;;;;"Facilitatile centrului: – Zona recreere dotata cu TV; – Zona activitati ocupationale; – Holuri la etaj cu canapele de piele; – Bucatarie proprie + sala de mese; – Curte spatioasa dotata cu mese si scaune de exterior si zone de relaxare. – Supraveghere permanenta; – 3 mese /zi + gustari intre mese; – Supraveghere medicala de baza; – Administrarea tratamentului; – Monitorizarea starii de sanatate; – Medic generalist saptamânal; – Recoltare analize + transport laborator analize. Facilitatile asistatilor: FACILITATI IN COLABORARE CU PARTENERI (se achita); – Medicina pe specialitati; – Masaj relaxare; – Fizioterapie/Reflexoterapie; – Servicii coafor, frizerie, manichiura; – Pedichiura, cosmetica; – Ziare si reviste zilnic; – Servicii religioase; – Excursii organizate (la cerere, pentru grup de minim 6 persoane)."
"Asociatia Oaza Batranetii";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala, Recuperare neuromotorie, Reflexoterapie";;;;;;;;"“OAZA BATRANETII” nu este un azil de batrani ci o casa pentru o mare familie unde dorim sa oferim persoanelor varstnice un stil de viata ferit de grijile specifice varstei, devotamentul si experienta in domeniul medical si socio-uman ale specialistilor.Este locul perfect unde seniorii sunt foarte bine ingrijiti, specialistii ocupandu-se permanent de pastrarea, intretinerea si imbunatatirea conditiei medicale, fizice si psihice.Calitatea serviciilor si dotarilor reprezinta principiul de baza in asigurarea conditiilor optime de ingrijire a persoanelor varstnice care au ramas singure sau care au probleme de sanatate si care cauta un loc linistit si deosebit unde sa socializeze. In cadrul centrului nostru, cei dragi dumneavoastra vor beneficia de conditii deosebite de cazare, agrement, supraveghere medicala si sociala permanenta, precum si de un meniu variat si atent selectat, care sa respecte dieta personala. OAZA BATRANETII se afla intr-o zona ferita de zgomotul si poluarea orasului, foarte linistita, dispunand de mp construiti."
"Rezidenta History";office@historyresidence.ro;;;"Câmpu Cetăţii, Romania";;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice";;;;;;"https://www.camine-batrani.ro/wp-content/uploads/2019/09/208_image_1.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/208_image_2.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/208_image_3.jpg";;"Rezidenta History, creata intr-un stil retro special si unic, se afla la o distanta de 40 de km de la Tg. Mures, in localitatea Campul Cetatii, intr-o ambienta mirifica, intr-un loc unde persoanele varstnice gasesc armonia fizica si sufleteasca. Rezidenta este situata intr-o zona geografica care o recomanda, in liniste si calm, unde va asteapta lumina si armonia de culori a naturii. Paraul Nirajul tocmai paraseste zonele muntoase in favoarea unei vai deschise. Privirea nu se poate plictisi, pentru ca pe ambele parti ale vaii sunt imprejmuite de minunate creste impadurite. Trebuie sa mentionam faptul ca la realizarea casutelor s-a avut in vedere accesul fara scari si pentru persoane cu dizabilitati fizice. Servirea meselor are loc in sala de mese al stabilimentului, loc in care iarasi se imbina perfect dotarea ultramoderna a bucatariei cu sala de mese cu caracter puternic muzeal. Cateva cuvinte despre mancaruri. ‘Esti cea ce mananci’ formuleaza gastronomia moderna. Toata lumea cunoaste faptul ca mancarea buna te retine, te recheama si face reclama. Garantam oaspetilor nostrii satisfacerea chiar si a celor mai exigente cerinte. Mancarurile sunt gatite de un personal de bucatarie ales si atent la cerintele oaspetilor, mancarurile diverse fiind gatite din ingrediente de baza proaspete si naturale. Prezentarea de mai sus nu ar fi completa, daca nu am face mentiune despre camera de zi pentru socializare, sauna, sala de sport si grill-ul instalat in gradina. Vizitati-ne si va veti convinge. Consideram ca amplasamentul este una dintre putinele existente, a carui frumusete si armonie nu poate fi reflectat complet in descrieri si fotografii."
"Asociatia Rasaritul";asociatiarasaritulbolintineni@yahoo.com;;;"Bolintineni, Romania";;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Gimnastica medicala, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala";;;;;;"https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_1.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_2.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_3.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_4.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_5.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_6.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_7.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_8.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_9.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_10.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_11.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_12.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_13.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_14.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_15.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_16.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_17.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_18.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/09/186_image_19.jpg";;"Suntem Asociatia Rasaritul, un camin pentru varstnici situat in apropierea mun. Targu Mures (17km) in localitatea Bolintineni, intr-un mediu rustic, cunoscut cu aer curat si ferit de agitatia inerenta a societatii de consum. Un loc linistit cu oameni primitori, dotat cu tot ceea ce e necesar pentru o batranete linistita. Va asteptam cu mult drag sa ne vizitati!"
"Senior Residence";;;;;;;;"Asistenta medicala, Consult medical regulat, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice";;;;;;;;"Caminul asigura cazare pe timp nedeterminat, 3 mese pe zi plus 2 gustari, supraveghere, ingrijire, asistenta permanenta pentru batrani autosuficienti, cat si non-suficienti, deficit motor, etc. Costurile serviciilor oferite variaza in functie de nevoia si nivelul de servicii necesare sau solicitate. In cazul in care are nevoie de o ingrijire speciala se vor percepe costuri suplimentare."
"Caminul de batrani Sf. Ioan";;;;;;;;"Asistenta medicala, Consult medical regulat, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Reflexoterapie";;;;;;;;"-conditii de curatenie si igiena exemplare -asistenta medicala oferita de medicul generalist,de asistente medicale cu experienta si ingrijitoare cu suflet. -asistenta religioasa -servicii saptamanale de frizerie-cuafor si manichiura-pedichiura La finalul lucrarilor vom dispune de inca 4 camere cu unu si doua paturi. Ne retinem dreptul de a selecta clientii pentru a oferii celor cazati conditile cele bune Deoarece numarul rezidentilor va fi redus cei interesati pot depune de pe acum cereri pe adresa de contact"
"Camin de batrani Casa Ana";;;;;;;;"Asistenta medicala, Consult medical regulat, Ingrijire persoane varstnice";;;;;;;;"Te-au crescut cu cea mai mare dragoste si si-au fost alaturi, calauzindu-te si indrumandu-te in viata. S-au bucurat pentru realizarile tale si au fost intristati pentru esecuri. Le-ai facut o bucurie enorma daruindu-le nepoti care le-au readus zambetul pe buze, dupa o viata de truda. A venit timpul sa fii multumitor pentru toate sacrificiile pe care le-au facut pentru tine. Acum e randul lor sa aiba nevoie de tine, de sprijinul tau. Impreuna le putem asigura o batranete lipsita de griji, linistita si placuta! Caminul de batrani “Casa Ana” este un loc in care dorim sa gazduim persoane varstnice care au ramas singure si cauta un loc linistit si placut unde isi pot petrece timpul cu noi prieteni, intr-o atmosfera familiala, avand activitati diverse si beneficiind de asistenta calificata si o atenta ingrijire. Este un loc in care puteti sa regasiti atmosfera calda si linistita din familie, unde seniorii nostri vor avea parte de un stil de viata care sa si protejeze de preocuparile si grijile aferente varstei. Misiunea noastra este sa creem o atmosfera familiala, sa asiguram un standard de viata care corespunde nevoilor persoanelor varstnice, sa dezvoltam relatii bazate pe incredere si acceptare, sa asiguram o batranete demna si lipsita de orice griji."
"Centrul Psihosan";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Gimnastica medicala, Ingrijire persoane varstnice, Recuperare medicala";;;;;;;;"Batranetea poate fi o perioada extraordinara daca ne gandim la avantajele pe care le aduce: timpul liber care poate fi petrecut in activitati placute, calatorii, amintirea unor momente fericite si realizari. Este important ca batranetea sa fie primita asa cum vine ea, intr-un mod natural, iar apoi sa se gaseasca solutii pentru a depasi greutatile pe care le aduce. Noi venim cu aceste solutii. Ne dorim o crestere a nivelului de trai si calitatii vietii la varsta a treia, prin asigurarea unui confort familial si medical de inalt grad. Asiguram pentru varstnicii sanatosi, cat si bolnavi, o monitorizare continua a starii de sanatate. Aici va asteapta o gazduire, ingrijire si cazare permanenta sau temporara de lux."
"Grawe House";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Recuperare medicala";;;;;;;;"– conditii de curatenie si igiena exemplare – asistenta medicala oferita de medicul generalist,de asistente medicale cu experienta si ingrijitoare cu suflet. – asistenta religioasa – servicii saptamanale de frizerie-cuafor si manichiura-pedichiura La finalul lucrarilor vom dispune de inca 4 camere cu unu si doua paturi. Ne retinem dreptul de a selecta clientii pentru a oferii celor cazati conditile cele bune Deoarece numarul rezidentilor va fi redus cei interesati pot depune de pe acum cereri pe adresa de contact"
"Centrul de Varstnici Sarmasu";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice";;;;;;;;"Caminul de varstnici Sarmasu isi continua activitatea sub patronajul Asociatiei St Johann. Va asteptam cu drag."
"Camin de Batrani ROBI and NORBI";;;;;;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Ingrijire bolnavi, Ingrijire persoane varstnice";;;;;;;;"Ne descriem ca fiind un centru intim, plin de caldura sufleteasca unde batraneii nostri se simt ca acasa intr-un mediu rustic, cunoscut cu aer curat si ferit de agitatia inerenta a societatii de consum. Un loc linistit cu oameni primitori, dotat cu tot ceea ce e necesar pentru o batranete linistita. Intr-un spatiu curat si linistit, incercam sa va ajutam, asigurand conditii optime de trai in vederea asigurarii unei vieti decente si lipsite de griji pentru seniorii d.voastra, bunici, frati sau parinti. Nu suntem spital si nu asiguram tratamente medicale complexe dar cu ajutorul personalului nostru (infirmiere, asistente medicale, medic specialist, psiholog) incercam sa Va asiguram de lipsa grijei in ce priveste ingrijirea rudei sau parintelui D.voastra. Caminul este situat in orasul Sovata, la DN 13A. Este compus din 9 camere (2 si 3 paturi) cu grup sanitar in fiecare camera, cabinet medical, sala de mese, bucatarie, spalatorie, curte interioara si spatiu verde. Ferit de zgomotul automobilelor si de praf, invaluita in cantec de greieri si raze de soare, Caminul de batrani ROBI&NORBI Va asteapta cu drag sa ne vizitati!"
"Camin Grandpas Home Alex";;;;;;;;"Asistenta medicala, Ingrijire persoane varstnice";;;;;;;;"Despre noi: Camin de batrani Grandpa’s Home e ste amplasat in judetul Mures, pe o suprafata de 3 hectare, la 2 kilometri de Municipiul Reghin si de 35 de kilometri de Municipiul Targu Mures, intr-o zona foarte linistita, ferita de aglomeratia si zgomotul orasului. Caminul nostru este locul ideal unde seniorii pe langa faptul ca se simt ca acasa, au parte si de servicii de ingrijire deosebite, pentru o mentinere excelenta a starii atat medicale cat si fizice, psihice. Seniori au posibilitatea sa beneficieze de serviciile noaste pe o perioda mai scurta (o saptamana, o luna) sau pe perioada nedeterminata! Oricand un senior al dumneavoastra are nevoie de atentie si ingrijire, echipa noastra de profesionisti va sta la dispozitie, intr-o locatie de lux. Pe langa ingrijirea medico-sociala, seniorii se pot bucura si de placerile oferite de gradina si parcul imens care inconjoara centrul Grandpa’s Home Alex. Gradina este plina cu flori, pomi decorative/fructifiere, lumini ambientale, fantani artezian, filagorii, terasa, locuri special amenanjate pentru programe de reabilitare, intretinere. in incinta complexului se afla si un lac, iar in apropiere curge raul Mures."
"Centrul Isodan";graurisabell@yahoo.com;;;"Bistrița, Piatra Neamt, Romania";;;;"Asistenta medicala, Consiliere psihologica, psihoterapie, Consult medical regulat, Evaluare clinica, Geriatrie, Gimnastica medicala, Ingrijire bolnavi, Ingrijire bolnavi cu Alzheimer, Ingrijire persoane cu handicap, Ingrijire persoane varstnice, Reflexoterapie";;;;;;"https://www.camine-batrani.ro/wp-content/uploads/2019/10/514_image_1.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/10/514_image_2.jpg, https://www.camine-batrani.ro/wp-content/uploads/2019/10/514_image_3.jpg";;"Centrul de ingrijire si supraveghere ISODAN se afla la 3 KM de Piatra Neamt intr-un loc de vis si asigura conditii deosebite pentru ca varstnicii sa se bucure de siguranta, atentie si confort. ISODAN este locul unde ii pastrati aproape pe bunicii cei dragi si in acelasi timp aveti garantia ca acestia primesc atentia si grija pe care o merita. In caminul nostru batranii vor regasi confort, liniste si o atmosfera prietenoasa. Astfel, ei nu se vor simti singuri, ci vor fi inconjurati de persoane asemenea lor cu care pot discuta sau impartasi activitati placute. Aici incurajam bunicii sa-si petreaca impreuna timpul prin jocuri de societate, plimbari, vizionarea emisiunilor preferate si alte activitati recreative, realizand terapia ocupationala atat de necesara varstei a treia. In acest mod vom pastra active atat mintea cat si trupul, cu efect benefic asupra sanatatii si starii de spirit Echipa noastra este formata din persoane calificate, cu experienta in domeniu si va ofera cu drag serviciile medicale si psihologice necesare intretinerii si imbunatatirii sanatatii. SERVICIILE INCLUSE IN PACHETUL DE BAZA: -Cazare in camera cu 4 paturi, grup sanitar si TV; -3 mese principale/zilnic si 2 gustari; -Alimentatie speciala pentru persoanele cu regim; -Administrarea hranei la pat si ajutor pentru servitul mesei (daca este cazul); -Asistenta permanenta, servicii de intretinere, ingrijire personala si menaj zilnic; -Vizita Medic Generalist; -Administrarea medicatiei, SE POT ASIGURA SI SERVICII CONTRA COST: -Analize medicale; -Consultatii medicale de specialitate; -Masaj, reflexoterapie, kinetoterapie, etc; -Excursii organizate; -Alte servicii la cerere."
"Casa Lenalia";;;;;;;;;;;;;;;;"Centrul de ingrijire batrani Casa Lenalia, sub patronajul Sf. Samson oferă servicii ingrijire individuale si personalizate pentru fiecare senior in parte, caminul nostru avand ca prioritate ingrijirea optima a fiecarui rezident in functie de problemele si nevoile fiecaruia. Îngrijirea include cazare, servicii de menaj, supraveghere și asistență medicală 24h/24h cu personal calificat, administrarea tratamentului medicamentos conform indicațiilor medicului si consultații de specialitate ( neurologie, psihiatrie, cardiologie, psihologie, kinetoterapie, etc. ) la cererea rezidentului sau aparținătorului. Supraveghere si recuperare seniori cu ajutorul personalului calificat; – Intretinere, curatenie si menaj zilnic din partea infirmierelor; – Suport si asistenta in timpul servirii meselor si activitatilor personale; – Meniu zilnic bazat pe 3 mese si gustari, adaptate conform recomandarilor medicale; – Servicii intretinere corporala: manichiura, pedichiura, coafura, frizerie, masaj…etc; – Căminul dispune de asistență socială calificată; – Spatii de socializare atat la parter cat si la fiecare etaj; – Vizitarea rezidentilor de către familie; – Vizitarea preotului de la biserica din apropiere cât și asistarea vârstnicilor la biserică; – Colindători în preajma sărbătorilor de iarnă; – Programe de pictură și meloterapie (terapie prin muzică); – Acces la aparate de sport și masaj; – Rezidenții au posibilitatea de recreere in spatial verde aferent si pe terasa exterioara. – Tratamentul intravenos, intradermic, subcutanat, intramuscular este efectuat gratuit; – Monitorizarea funcțiilor vitale (tensiune arterială, alură ventriculară, respirație, temperatură) etc;"
